Title,Rating,Academy Awards,Actors,Categories,Detailed_Release,Directors,Dist,Distributor Long Name,Year(DVD/Video Release Date),Golden Globes,Language,Producers,Production Companies,Quarter(Release Date),Sound Formats,Visual Formats,Writers,Total Cume,Total DVD/Video Release Window,Total Locs At Opening,Total Locs At Widest Release,Total Opening 7 Day Gross,Total Opening Day Gross,Total Opening Wknd Avg,Total Opening Wknd Gross,Total Opening Wknd Locs,Total Run Time
diary of a wimpy kid,pg,,"alexis ferris, chloe grace moretz, devon bostick, owen best, rachael harris, robert capron, steve zahn, zachary gordon","family, comedy",3/19/2010,thor freudenthal,fox,20th century fox,2010,,english,"brad simpson, nina jacobson",color force,Q1 2010,quad,flat,"jackie filgo, jeff filgo","64,003,625",137,"3,077","3,083","25,776,429","7,375,022","7,191","22,126,166","3,077",93
connected,pg,,,documentary,9/16/2011,tiffany shlain,pala,paladin,,,english,"carlton evans, matthew hiltzik, tiffany shlain",,Q3 2011,,,,"46,782",0,3,7,"15,668",0,"4,434","13,301",3,82
marigold,nr,,"ali larter, salman khan","musical, romance",8/17/2007,willard carroll,alf,adlabs films usa,2008,,english,,,Q3 2007,dolby srd,scope,,0,347,54,54,0,0,0,0,54,115
24 exposures,nr,,"adam wingard, caroline white, helen rogers, simon barrett, sophia takal","horror, drama, suspense",1/24/2014,joe swanberg,ind,independent,2014,,,,,Q1 2014,,,joe swanberg,0,123,0,0,0,0,0,0,0,0
rio,g,,"anne hathaway, george lopez, jamie foxx, jane lynch, jermanine clement, jesse eisenberg, leslie mann, rodrigo santoro, tracy morgan, wanda sykes, will.i.am","animation, comedy, family, musical",4/15/2011,carlos saldanha,fox,20th century fox,2011,,english,bruce anderson,blue sky studios,Q2 2011,quad,"3d, scope",,"143,619,809",109,"3,827","3,842","54,483,241","10,345,242","10,250","39,225,962","3,827",0
snitch,pg13,,"barry pepper, benjamin bratt, david harbour, dwayne johnson, harold perrineau, jd pardo, james allen mccune, kyara campos, lela loren, melina kanakaredes, michael k. williams, nadine velazquez, rafi gavron, susan sarandon","action, drama, suspense",2/22/2013,ric roman waugh,lgf,lionsgate,2013,,english,"alexander yves brunner, dany garcia, david fanning, dwayne johnson, guy east, nigel sinclair",,Q1 2013,"dts, dolby srd",scope,"justin haythe, ric roman waugh","42,930,462",109,"2,511","2,511","16,710,339","4,162,673","5,244","13,167,607","2,511",112
precious,r,"best adapted screenplay, best supporting actress","chyna layne, gabourey sidibe, lenny kravitz, mariah carey, mo'nique, paula patton, sherri shepherd, stephanie andujar",drama,11/6/2009,lee daniels,lgf,lionsgate,2010,best supporting actress,english,"gary magness, lee daniels, sarah siegel-magness","lee daniels entertainment, smokewood entertainment group",Q4 2009,quad,flat,geoffrey fletcher,"47,566,524",123,18,"1,003","2,824,552","587,859","104,025","1,872,458",18,109
"samaritan, the",r,,"luke kirby, ruth negga, samuel l. jackson, tom wilkinson",suspense,5/18/2012,david weaver,ifc,ifc films,2012,,english,,,Q2 2012,dolby srd,scope,"david weaver, elan mastai","2,521",130,3,3,"2,521",0,581,"1,744",3,93
deep in the heart,pg13,,"d.b. sweeney, elaine hendrix, james haven, jon gries, rheagan wallace, val kilmer",drama,2/17/2012,christopher cain,arch,archstone distribution,2013,,english,"brian a. hoffman, jay hoffman, scott duthie",,Q1 2012,dolby sr,flat,"brian a. hoffman, josh fasulo","819,000",445,62,62,0,0,0,0,62,113
chris & don: a love story,nr,,"christopher isherwood, don bachardy, jack larson, john boorman",documentary,6/13/2008,"guido santi, tina mascara",ztg,zeitgeist,2009,,english,"guido santi, james l. white, julia alexander, tina mascara",,Q2 2008,stereo,,,"216,110",256,2,11,"17,791",0,"5,168","10,337",2,90
in search of the american dream,pg13,,"baldemar rodriguez, daniella jimenez, irma infante, jeremy becerra, jose rios, josephine john, kayla valadez, leo d. wheeler, leonor follis, lupe casares, nina leon, shaina sandoval","drama, family",9/20/2013,baldemar rodriguez,ind,independent,,,english,"baldemar rodriguez, gregg angel rangel",,Q3 2013,,,baldemar rodriguez,0,0,0,0,0,0,0,0,0,127
keep watching,r,,"bella thorne, chandler riggs, ioan gruffudd, leigh whannell, matthew willig, natalie martinez","horror, suspense",10/31/2017 (tue),sean carter,sny,sony,2018,,english,"alex heineman, andrew rona, craig j. flores, nicolas chartier","screen gems, voltage pictures",Q4 2017,dolby srd,flat,joseph dembner,"94,178",98,805,805,0,"94,178",0,0,0,89
everybody wants to be italian,r,,"cerina vincent, dan cortese, jay jablonski, john kapelos, marisa petroro, tammy pescatelli",comedy,9/5/2008,jason todd ipson,rsa,roadside attractions,2009,,english,"jaime burke, james huntsman","asgaard entertainment, brynhilde productions",Q3 2008,dolby srd,flat,,"351,416",151,98,98,"263,886","64,238","2,019","197,861",98,104
iris (2015),pg13,,iris apfel,documentary,04/29/2015 (wed),albert maysles,mag,magnolia pictures,2015,,english,"jennifer ash rudick, laura coxson, rebekah maysles",,Q2 2015,dolby srd,scope,,"1,310,678",118,2,92,"93,090",0,"9,542","57,254",6,78
tchoupitoulas,nr,,,documentary,12/7/2012,"bill ross, turner ross",oscil,oscilloscope pictures,,,english,,,Q4 2012,stereo,flat,,"19,375",0,1,6,"3,777",0,"2,379","2,379",1,82
ana maria in novela land,nr,,"edy ganem, elizabeth pena, jessica camacho, mercedes mason, michael steger, nestor serrano, sosie bacon, sung kang, tamara taylor","comedy, drama",2/27/2015,georgina riedel,ind,independent,,,english,"andrew gernhard, shane o'brien, steak house, zach o'brien",,Q1 2015,,,"georgina riedel, jose nestor marquez",0,0,0,0,0,0,0,0,0,89
free the nipple,nr,,,"drama, comedy",12/12/2014,lina esco,ifc,ifc films,2015,,english,,,Q4 2014,dolby srd,,,"4,198",179,1,1,606,0,606,606,1,84
legends from the sky,nr,,"chris robinson, edsel pete, ernie tsosie iii, james bilagody, mia sable","drama, science fiction",1/30/2015,holt hamilton,ind,independent,,,navajo,,,Q1 2015,,,holt hamilton,"91,462",0,8,8,"27,140",0,"2,271","18,168",8,85
planet terror,r,,"bruce willis, carlos gallardo, freddy rodriguez, jeff fahey, josh brolin, marley shelton, michael biehn, michael parks, naveen andrews, rebel rodriguez, rose mcgowan, stacy ferguson","action, horror, science fiction, suspense",4/6/2007,robert rodriguez,twc,the weinstein company,2007,,english,"elizabeth avellan, erica steinberg, quentin tarantino, robert rodriguez","dimension films, troublemaker studios",Q2 2007,quad,scope,,0,193,0,0,0,0,0,0,0,91
rules don't apply,pg13,,"=""alden ehrenreich, alec baldwin, amy madigan, annette bening, candice bergen, chace crawford, dabney coleman, ed harris, haley bennett, lily collins, martin sheen, matthew broderick, megan hilty, oliver platt, patrick fischler, steve coogan, taissa farmi","comedy, drama",11/23/2016 (wed),warren beatty,fox,20th century fox,2017,,english,"arnon milchan, brett ratner, christopher woodrow, jeffrey soros, jonathan mccoy, molly conners, steve bing, terry semel, warren beatty","considered entertainment, new regency, ratpac entertainment, worldview entertainment",Q4 2016,dolby srd,flat,warren beatty,"3,652,206",97,"2,382","2,386","2,180,586","307,888",667,"1,589,625","2,382",127
"animation show 4, the",nr,,,animation,5/23/2008,,ind,independent,,,,,,Q2 2008,,,,0,0,0,0,0,0,0,0,0,0
all superheroes must die 2,nr,,"art hsu, dylan quigg, jason trost, sean whalen, tallay wickham","science fiction, action",5/20/2016,jason trost,ind,independent,,,english,"elizabeth k. gray, jason trost, joel mason, nick frollini, travis heck",,Q2 2016,dolby sr,digital,"jason trost, tallay wickham",0,0,8,8,0,0,0,0,8,89
cut/print,nr,,"ele bardha, ken foree, randy godwin, vince orlando","horror, suspense",10/31/2012 (wed),nathaniel nose,ind,independent,,,english,"adam robitel, jeff burton, jordan yale levine, tim sullivan, vince orlando",,Q4 2012,,,"gary wayne allison, nathaniel nose, vince orlando",0,0,0,0,0,0,0,0,0,0
nuremberg,nr,,liev schreiber,documentary,09/29/2010 (wed),"joshua waletzky, sandra schulberg, stuart schulberg",ind,independent,,,english,"joshua waletzky, pare lorentz, sandra schulberg, stuart schulberg",,Q3 2010,mono,flat,stuart schulberg,0,0,0,0,0,0,0,0,0,80
mommy and me,,,meryl streep,,unset,stanley tucci,oth,other,,,english,"lucy barzun donnelly, tory tunnell, wren arthur",,,,,joby harold,0,0,0,0,0,0,0,0,0,0
"nines, the",r,,"elle fanning, hope davis, melissa mccarthy, ryan reynolds",drama,8/31/2007,john august,nmf,newmarket films,2008,,english,"bruce cohen, dan etheridge, dan jinks",,Q3 2007,,flat,,"63,165",151,2,5,"33,261",0,"11,808","23,617",2,99
smiley face,r,,"adam brody, anna faris, brian posehn, danny masterson, danny trejo, jane lynch, john cho, john krasinski, marion ross",comedy,11/16/2007,gregg araki,flp,first look,2008,,english,"alix madigan, kevin turen, steve golin",anonymous content,Q4 2007,dolby srd,flat,,"9,397",53,1,1,"8,140",0,"5,993","5,993",1,85
"american affair, an",r,,"cameron bright, gretchen mol, james rebhon, mark pellegrino, noah wyle, perry reeves","suspense, drama",2/27/2009,william olsson,smf,screen media films,2009,,english,"alex metcalf, carol flaisher, john daly, kevin leydon",,Q1 2009,dolby sr,flat,alex metcalf,"28,044",151,2,2,"14,762",0,"5,850","11,700",2,93
"lucky one, the",pg13,,"adam lefevre, blythe danner, jay r. ferguson, riley thomas stewart, robert hayes, taylor schilling, zac efron","drama, romance",4/20/2012,scott hicks,wb,warner bros.,2012,,english,"denise di novi, kevin mccormick","dinovi pictures, langley park pictures, village roadshow pictures",Q2 2012,quad,scope,will fetters,"60,457,138",130,"3,155","3,175","28,601,696","9,105,607","7,137","22,518,358","3,155",101
"imitation game, the",pg13,best adapted screenplay,"allen leech, ancuta breaban, benedict cumberbatch, charles dance, hannah flynn, james northcote, keira knightley, mark strong, matthew beard, matthew goode, rory kinnear, steven waddington, tom goodman-hill, tuppence middleton","drama, foreign",11/28/2014,morten tyldum,twc,the weinstein company,,,english,"ido ostrowsky, nora grossman, teddy schwarzman",,Q4 2014,dolby srd,scope,graham moore,"91,125,143",0,4,"2,402","611,199","181,130","119,838","479,352",4,114
strangers on the earth,nr,,,"documentary, foreign",4/14/2017,tristan cook,kns,kinosmith,,,english,,,Q2 2017,dolby srd,flat,,0,0,0,0,0,0,0,0,0,96
arranged,nr,,"daniel london, francis benhamou, john rothman, laith nakli, marcia jean kurtz, mimi lieber, zoe lister jones",drama,12/14/2007,"diane crespo, stefan schaefer",fmv,film movement,2008,,english,"diane crespo, stefan schaefer",,Q4 2007,dolby srd,scope,,"23,571",81,1,2,"8,698",0,"5,560","5,560",1,89
"camioneta, la",nr,,,"documentary, foreign",5/31/2013,mark kendall,ind,independent,,,english,"mark kendall, rafael gonzalez",,Q2 2013,dolby srd,digital,,"18,558",0,1,8,"3,567",0,0,0,1,72
see you next tuesday,nr,,"dana eskelson, eleanore pienta, keisha zollar, molly plunk",drama,8/22/2014,drew tobia,ind,independent,2014,,english,,,Q3 2014,,,,0,32,0,0,0,0,0,0,0,0
concert for george,nr,,,"special events, concert",02/25/2018 (sun),david leland,abr,abramorama,,,english,"jon kamen, olivia harrison, ray cooper",,Q1 2018,,,,0,0,0,0,0,0,0,0,0,100
it comes at night,r,,"carmen ejogo, christopher abbott, joel edgerton, riley keough","horror, suspense",6/9/2017,trey edward shults,a24,a24,2017,,english,"andrea roa, david kaplan",,Q2 2017,,scope,trey edward shults,"13,985,120",95,"2,533","2,533","8,523,164","2,479,596","2,364","5,988,370","2,533",95
restless creature: wendy whelan,nr,,,documentary,05/24/2017 (wed),"adam schlesinger, linda saffire",abr,abramorama,2017,,english,,,Q2 2017,dolby srd,scope,,"147,780",167,2,8,"34,424","4,362","9,940","19,879",2,93
oconomowoc,,,"andrew rozanski, andy gillies, brendan marshall-rashid, cindy pinzon, deborah clifton","comedy, drama",4/19/2013,andy gillies,ind,independent,,,english,,,Q2 2013,stereo,,andy gillies,0,0,0,0,0,0,0,0,0,79
herb & dorothy 50x50,nr,,,documentary,9/13/2013,megumi sasaki,ind,independent,,,,,,Q3 2013,,,,"38,933",0,1,8,"7,947",0,"6,157","6,157",1,87
boston: an american running story,pg,,matt damon,special events,04/19/2017 (wed),event director,fthm,fathom events,,,english,,,Q2 2017,dolby srd,,,"441,590",0,494,494,0,"404,066",0,0,0,140
atlas shrugged part 2,pg13,,"esai morales, jason beghe, patrick fabian, samantha mathis","drama, science fiction",10/12/2012,john putch,atlas,atlas distribution company,2013,,english,"harmon kaslow, jeff freilich, john aglialoro",,Q4 2012,dolby srd,scope,"brian patrick o&#39;toole, duke sandefur, duncan scott","3,336,053",130,"1,012","1,012","2,246,071","702,046","1,731","1,751,572","1,012",112
jackie,r,,"beth grant, billy crudup, greta gerwig, john carroll lynch, john hurt, max casella, natalie portman, peter sarsgaard, richard e. grant",drama,12/2/2016,pablo larrain,fsl,fox searchlight,2017,,english,"ari handel, darren aronofsky, juan de dios larrain, mickey liddell, pascal caucheteux, scott franklin",,Q4 2016,dolby srd,flat,noah oppenheim,"13,960,394",95,5,508,"364,825","90,742","55,743","278,715",5,100
dunkirk,pg13,"best film editing, best sound editing, best sound mixing","cillian murphy, harry styles, jack lowden, james d'arcy, kenneth branagh, mark rylance, tom hardy","drama, action, suspense",7/21/2017,christopher nolan,wb,warner bros.,2017,,english,"christopher nolan, emma thomas","dombey street, syncopy, warner bros.",Q3 2017,quad,imax,christopher nolan,"188,373,161",151,"3,720","4,014","74,706,220","19,736,259","13,579","50,513,488","3,720",106
deconstructing the beatles' sgt. pepper,nr,,,documentary,02/06/2017 (mon),scott freiman,abr,abramorama,,,english,,,Q1 2017,,,scott freiman,0,0,0,0,0,0,0,0,0,95
cruces divided,nr,,,documentary,10/15/2010,charlie minn,ind,independent,,,english,,,Q4 2010,,,,0,0,0,0,0,0,0,0,0,97
gun hill road,r,,"esai morales, harmony santana, judy reyes",drama,8/5/2011,rashaad ernesto green,mfg,motion film group,2013,,english,"michelle-anne m.small, ron simmons",,Q3 2011,dts,flat,rashaad ernesto green,"141,351",578,3,10,"52,027","14,390","12,654","37,963",3,86
hellion,r,,"aaron paul, juliette lewis","drama, suspense",6/13/2014,kat candler,ifc,ifc films,2014,,english,,,Q2 2014,dolby srd,scope,,"55,708",109,1,11,"8,581",0,"7,601","7,601",1,99
"yes men are revolting, the",r,,,"documentary, comedy",6/12/2015,"andy bichlbaum, laura nix, mike bonanno",orch,the orchard,2016,,english,"igor vamos, jacques servin, laura nix",,Q2 2015,stereo,"digital, flat","andy bichlbaum, laura nix, mike bonanno","50,190",214,10,20,"19,274",0,"1,246","12,462",10,91
no one lives,r,,"adelaide clemens, america olivo, beau knapp, brodus clay, derek magyar, laura ramsey, lee tergesen, lindsey shaw, luke evans","horror, foreign, suspense",5/10/2013,ryuhei kitamura,anchr,anchor bay,2013,,english,"harry knapp, kami naghdi",,Q2 2013,,scope,david lawrence cohen,"75,121",102,53,53,"65,805","18,078",902,"47,798",53,85
"affirmative act, an",nr,,"blanche baker, candice holdorf, charles durning, costas mandylor, elissa goldstein, eric etebari, jackie martling, rachael robbins, randy jones, robert clohessy, thomas g. waites",drama,4/1/2011,jana mattioli,ind,independent,2012,,english,kenneth del  vecchio,,Q2 2011,stereo,flat,kenneth del  vecchio,"4,200",403,5,5,"4,200",0,0,0,5,93
permanent,pg13,,"kira mclean, patricia arquette, rainn wilson",comedy,12/15/2017,colette burson,mag,magnolia pictures,2018,,english,"haroula rose, joshua blum, mary ann marino, sam bisbee",,Q4 2017,dolby srd,flat,colette burson,"12,847",109,8,8,"8,709",0,715,"5,722",8,93
prisoner or: how i planned to kill tony,pg13,,,documentary,3/23/2007,"michael tucker, petra epperlein",ti,truly indie,2007,,english,michael tucker,,Q1 2007,stereo,flat,,0,74,2,7,0,0,0,0,2,72
left behind,pg13,,"cassi thomson, chad michael murray, jordin sparks, lea thompson, nicky whelan, nicolas cage","action, science fiction, suspense",10/3/2014,vic armstrong,free,freestyle releasing,2015,,english,paul lalonde,"films in motion, stoney lake entertainment",Q4 2014,dolby sr,flat,"john patus, paul lalonde","14,019,924",95,"1,825","1,887","8,010,872","2,398,396","3,452","6,300,147","1,825",110
zero dark thirty,r,,"chris pratt, edgar ramirez, frank grillo, harold perrineau, jennifer ehle, jessica chastain, joel edgerton, kyle chandler, mark duplass, mark strong, scott adkins, stephen dillane",suspense,12/19/2012 (wed),kathryn bigelow,sny,sony,2013,best actress - drama,english,"kathryn bigelow, mark boal, megan ellison","annapurna pictures, columbia pictures",Q4 2012,quad,flat,mark boal,"95,720,716",90,5,"2,946","823,559","124,848","83,430","417,150",5,157
p2,r,,"rachel nichols, simon reynolds, wes bentley","horror, suspense",11/9/2007,franck khalfoun,smt,summit entertainment,2008,,english,"alexandre aja, erik feig, gregory levasseur, patrick wachsberger",summit entertainment,Q4 2007,"dolby sr, dolby srd",scope,,"3,995,018",151,"2,131","2,131","2,771,392","670,406",978,"2,083,398","2,131",97
"golden boys, the (chatham)",nr,,"bruce dern, charles durning, david carradine, john savage, julie harris, mariel hemingway, rip torn",romantic comedy,4/17/2009,daniel adams,rsa,roadside attractions,2009,,english,"daniel adams, matt janes, michael mailer",,Q2 2009,dolby srd,flat,,"184,169",123,20,20,"29,486","5,466",918,"18,366",20,97
"search for life in space, the",,,,documentary,10/21/2016,stephen amezdroz,mf,macgillivray freeman film,,,english,,,Q4 2016,dolby srd,imax,stephen amezdroz,0,0,0,0,0,0,0,0,0,32
carl jackson's the jesus freak,nr,,"abby joy, kristin cooper",drama,8/25/2017,carl jackson,ind,independent,,,english,peter jones,carl jackson entertainment,Q3 2017,dolby srd,flat,carl jackson,0,0,7,7,0,0,0,0,7,100
"bitter buddha, the",nr,,"eddie pepitone, zach galifianakis",documentary,2/15/2013,steven feinartz,ind,independent,2013,,english,"mikki raphael rosenberg, steven feinartz",,Q1 2013,,,,0,158,0,0,0,0,0,0,0,90
before the rains,pg13,,"indrajit, lal paul, leopold benedict, linus roache, rahul bose","drama, foreign",5/9/2008,santosh sivan,mip/rsa,merchant ivory productions/roadside attractions,2008,,malayalam,"andrew spaulding, doug mankoff, mark burton, paul hardart, tom hardart","adirondack pictures, echo lake entertainment, excalibur pictures, santosh sivan productions",Q2 2008,dolby srd,flat,,"1,037,128",130,8,44,"68,707","13,047","6,020","48,159",8,98
